Index,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
0,23.7,26.272,585.2,749.2,0.0047641630241641,1
1,23.718000000000004,26.29,578.4,760.4,0.0047726609921251,1
2,23.73,26.23,572.666666666667,769.666666666667,0.0047651525524654,1
3,23.7225,26.125,493.75,774.75,0.0047437733559968,1
4,23.754,26.2,488.6,779.0,0.0047665939999861,1
5,23.76,26.26,568.666666666667,790.0,0.0047793324316345,1
6,23.73,26.29,536.333333333333,798.0,0.0047761363327489,1
7,23.754,26.29,509.0,797.0,0.0047830937083903,1
8,23.754,26.35,476.0,803.2,0.0047940939966204,1
9,23.736,26.39,510.0,809.0,0.0047961887103893,1
10,23.745,26.445,481.5,815.25,0.0048088862206771,1
11,23.7,26.56,481.8,824.0,0.0048167933677358,1
12,23.7,26.6,475.25,832.0,0.0048241038367487,1
13,23.7,26.7,469.0,845.333333333333,0.0048423807553356,1
14,23.7,26.774,464.0,852.4,0.0048559063612897,1
15,23.7,26.89,464.0,861.0,0.0048771098371907,1
16,23.7,26.9725,455.0,880.0,0.004892190768364,1
17,23.6,26.89,454.0,891.0,0.0048475944139699,1
18,23.64,26.976,458.0,897.6,0.0048750447811301,1
19,23.65,27.05,464.0,900.5,0.0048914915892962,1
20,23.64,27.1,473.0,908.8,0.0048976302434582,1
21,23.6,27.16,464.0,918.0,0.0048966518452253,1
22,23.6,27.236,498.4,925.2,0.0049104619885559,1
23,23.6,27.29,530.2,929.4,0.0049202748285747,1
24,23.6,27.33,533.6,936.4,0.0049275437970155,1
25,23.6,27.34,524.25,950.0,0.0049293610654639,1
26,23.625,27.3925,498.666666666667,961.0,0.0049464057474414,1
27,23.6,27.39,516.333333333333,963.0,0.0049384475657387,1
28,23.6,27.412,501.2,958.6,0.0049424457093031,1
29,23.6,27.5,522.0,965.333333333333,0.0049584387935172,1
30,23.6,27.525,520.5,979.25,0.0049629824321816,1
31,23.6,27.6,505.2857142857141,978.428571428571,0.0049766137433226,1
32,23.6,27.6,488.333333333333,983.0,0.0049766137433226,1
33,23.6,27.54,512.0,992.6,0.0049657086469915,1
34,23.6,27.6,511.0,997.2,0.0049766137433226,1
35,23.6166666666667,27.6333333333333,501.5,999.5,0.0049877184213918,1
36,23.6666666666667,27.7,503.666666666667,1001.0,0.0050150508609538,1
37,23.6,27.7,483.166666666667,1009.5,0.0049947897469088,1
38,23.6,27.7225,483.5,1019.0,0.0049988794929492,1
39,23.6,27.79,473.0,1021.0,0.0050111490511946,1
40,23.6,27.856666666666698,470.333333333333,1024.66666666667,0.0050232676047643,1
41,23.6,27.804285714285697,480.142857142857,1030.42857142857,0.0050137458446678,1
